Place Player Rating Mu Sigma #Matches #Forfeits
1 AND4H 36.054 36.718 0.443 187 8
2 capndrake 35.685 36.406 0.481 160 10
3 Adam5396 31.91 33.175 0.843 40 1
4 Fullalizards 31.329 32.315 0.657 69 4
5 Knighty 31.271 31.82 0.366 209 0
6 IongravireI 30.974 32.316 0.895 38 5
7 Trisscorp 30.968 31.502 0.356 217 0
8 Krankdud 30.844 31.446 0.402 165 23
9 SirNiko 30.821 31.952 0.754 49 0
10 zecks 30.627 31.539 0.608 80 4
11 primal85 30.597 31.902 0.87 39 1
12 Blechy 30.464 31.333 0.579 87 0
13 ramsus88 30.185 31.331 0.765 49 5
14 usedpizza 29.842 31.218 0.917 42 2
15 kval 29.591 30.771 0.787 42 1
16 m0ebius 29.495 31.214 1.146 18 0
17 Pikapals 29.49 30.125 0.423 131 2
18 jadian 29.337 30.549 0.808 44 0
19 Psyho 29.257 29.697 0.293 324 35
20 ivan 29.253 30.17 0.611 68 1
21 Jorf 29.124 30.189 0.71 54 6
22 Mikan 28.567 29.208 0.427 133 9
23 LiteYear 28.428 29.284 0.571 83 1
24 Death_Devil 28.387 30.376 1.326 15 1
25 dragonc0 28.275 29.34 0.709 43 0
26 Gikkman 28.183 29.311 0.752 46 1
27 Mr_Weables 28.158 29.34 0.788 43 4
28 razielim 27.99 28.849 0.573 82 10
29 atroz 27.961 28.625 0.442 120 15
30 Julian 27.953 29.292 0.893 31 0
31 TheMexicanRunner 27.943 29.278 0.89 37 3
32 GhostOfStarmen 27.878 29.497 1.08 21 3
33 TiefBlau 27.846 28.479 0.422 128 7
34 Withhelde 27.837 28.875 0.692 52 4
35 caerulius 27.809 28.567 0.506 95 12
36 nightmare47 27.649 28.767 0.746 45 3
37 chunkatuff 27.596 28.722 0.751 46 0
38 Bizn355 27.592 29.572 1.32 13 0
39 RoboSparkle 27.435 28.529 0.73 50 9
40 Andy 27.403 28.446 0.695 54 5
41 neskamikaze 27.367 27.884 0.345 211 26
42 Kirkq 27.347 27.962 0.41 149 12
43 Ajarmar 27.227 28.771 1.029 22 0
44 Karal_ 27.193 29.038 1.23 17 2
45 needle 27.113 28.207 0.73 51 5
46 TelrikRoch 27.044 28.079 0.69 47 5
47 PHatHome666 26.868 28.9 1.355 12 0
48 tbh_worms 26.816 27.468 0.434 120 1
49 zenicreverie 26.81 27.436 0.417 141 15
50 mikethev 26.733 27.974 0.827 33 1
51 Omnigamer 26.692 28.933 1.494 14 2
52 arcbliss 26.62 28.246 1.084 20 0
53 Kyong92 26.597 27.267 0.446 110 0
54 T3tsuya 26.525 27.483 0.639 64 6
55 elmagus- 26.469 28.603 1.423 13 1
56 bangerra 26.451 27.249 0.532 92 5
57 CriminallyVulgar 26.412 28.003 1.06 21 3
58 studio 26.369 27.813 0.963 28 1
59 RatFunk 26.346 27.978 1.088 22 4
60 falcoeagle 26.231 27.422 0.794 38 3
61 Polari 26.179 27.69 1.007 27 1
62 prinny 26.044 27.619 1.05 23 1
63 neo_sporin 26.019 27.077 0.705 53 0
64 BladeTwinSwords 25.986 26.687 0.467 114 16
65 Midboss 25.982 27.058 0.717 47 5
66 guhbadoo 25.972 28.418 1.631 9 1
67 saphaeren 25.969 27.109 0.76 41 10
68 Tsukigato 25.94 27.02 0.72 47 11
69 axl 25.938 28.781 1.895 7 0
70 AaronDobbe 25.893 27.138 0.83 30 2
71 hagspam 25.86 26.901 0.694 52 8
72 tonic 25.843 27.424 1.054 23 2
73 jonathanxspidewebia 25.798 27.195 0.931 28 7
74 chucat 25.748 27.05 0.868 32 5
75 lightning55 25.671 26.356 0.457 117 10
76 neerrm 25.635 26.807 0.782 40 9
77 Sent 25.624 27.018 0.93 26 3
